latitude,longitude,administra,type,date_added,datasets,geometry
19.7221617,-72.2295796,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:06:00Z,FRAPE (Haiti Outreach),"c(790393.50536427, 2183106.69561982)"
19.719871,-72.196925,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793822.640983475, 2182909.23845972)"
19.72229318,-72.18988102,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(794557.018072521, 2183189.74078614)"
19.721,-72.225,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2017-04-29T13:29:00Z,FRAPE (Haiti Outreach),"c(790875.93205995, 2182985.87880342)"
19.720528,-72.2337486,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:06:00Z,FRAPE (Haiti Outreach),"c(789959.199695507, 2182918.61705003)"
19.72204543,-72.23575383,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(789746.145781092, 2183083.2548679)"
19.71901871,-72.19777878,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793734.649999207, 2182813.36001622)"
19.67008647,-72.20550623,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793013.29631587, 2177380.32176809)"
19.6694521,-72.2025311,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(793326.598650839, 2177315.19122972)"
19.68367507,-72.24196114,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(789164.132287863, 2178822.90713125)"
19.72154045,-72.23212581,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(790127.574461887, 2183033.52882872)"
19.6850777,-72.2049843,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(793040.760147339, 2179041.62881319)"
19.722949,-72.2258663,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-10-25T10:57:00Z,FRAPE (Haiti Outreach),"c(790781.541340823, 2183200.25919199)"
19.6852298,-72.2048224,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(793057.467818322, 2179058.75453605)"
19.68587633,-72.21033219,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(792478.26846811, 2179120.86591086)"
19.67991049,-72.20505226,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793043.041132431, 2178469.19855138)"
19.6639415,-72.2052457,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(793051.812804045, 2176700.16353112)"
19.72047337,-72.18580272,"1re Section Basse Plaine (Quartier Morin), Quartier Morin, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(794988.116682875, 2182995.26864456)"
19.66074524,-72.20439982,"1re Section Perches-de-Bonnet, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793146.381455633, 2176347.60881142)"
19.68647,-72.201975,"3e Section Genipailler, Milot, Nord, Haiti",Unprotected dug well,2017-02-22T19:53:00Z,NA,"c(793353.923643496, 2179201.0330867)"
19.67248681,-72.22083237,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(791400.96343346, 2177619.8296628)"
19.6853331,-72.2063773,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(792894.157272902, 2179067.51382628)"
19.69520757,-72.21759025,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(791699.918060437, 2180141.89097284)"
19.683653,-72.2418181,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-10T18:27:00Z,FRAPE (Haiti Outreach),"c(789179.177875615, 2178820.70624795)"
19.6994545,-72.2299398,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-25T10:57:00Z,FRAPE (Haiti Outreach),"c(790396.768422609, 2180591.09598555)"
19.665128,-72.2163437,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(791885.235841874, 2176812.4873833)"
19.72132552,-72.23635599,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(789684.288615588, 2183002.4910898)"
19.7198877,-72.2000219,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Unprotected dug well,2016-11-13T21:34:00Z,FRAPE (Haiti Outreach),"c(793497.787505491, 2182905.72469695)"
19.695982,-72.2289868,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-25T12:46:00Z,FRAPE (Haiti Outreach),"c(790503.010418798, 2180208.12302087)"
19.66504606,-72.21638225,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(791881.33963193, 2176803.34572226)"
19.6873959,-72.2397569,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-10T18:27:00Z,FRAPE (Haiti Outreach),"c(789388.680039872, 2179238.76552347)"
19.669381,-72.1887056,"2e Section Morne Pelé, Quartier Morin, Nord, Haiti",Unprotected dug well,2016-11-17T17:49:00Z,FRAPE (Haiti Outreach),"c(794777.295731688, 2177331.23340863)"
19.6986085,-72.2270848,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-25T10:57:00Z,FRAPE (Haiti Outreach),"c(790697.781351684, 2180502.28249488)"
19.7212501,-72.2373009,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:06:00Z,FRAPE (Haiti Outreach),"c(789585.319756609, 2182992.52374025)"
19.6852965,-72.2072034,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(792807.558965727, 2179062.03571817)"
19.7040883,-72.2073581,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2017-04-26T16:48:00Z,NA,"c(792757.11370589, 2181143.12171195)"
19.6729021,-72.2208403,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(791399.379766019, 2177665.81249256)"
19.72235378,-72.19348893,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(794178.490055801, 2183190.1885455)"
19.6827788,-72.1867823,"2e Section Morne Pelé, Quartier Morin, Nord, Haiti",Borehole or tubewell,2021-08-23T13:56:00Z,NA,"c(794954.536285486, 2178818.50892726)"
19.7201606,-72.2345091,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:07:00Z,FRAPE (Haiti Outreach),"c(789880.098989126, 2182876.62468735)"
19.6852212,-72.2047222,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793067.995338362, 2179057.97489919)"
19.70045568,-72.19210625,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2021-09-30T19:23:00Z,NA,"c(794363.635872208, 2180767.15832317)"
19.6897564,-72.21143814,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-09-19T15:03:00Z,NA,"c(792355.193542589, 2179548.71136044)"
19.71618604,-72.19879098,"1re Section Basse Plaine (Quartier Morin), Quartier Morin, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793633.662684014, 2182497.86212087)"
19.7193706,-72.1997857,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Unprotected dug well,2016-11-13T21:34:00Z,FRAPE (Haiti Outreach),"c(793523.506909002, 2182848.8598975)"
19.7213224,-72.2314843,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:07:00Z,FRAPE (Haiti Outreach),"c(790195.25210476, 2183010.47608333)"
19.70047456,-72.19210625,"3e Section Genipailler, Milot, Nord, Haiti",Water kiosk,2021-09-30T19:10:00Z,NA,"c(794363.601297553, 2180769.24946695)"
19.6879138,-72.2185447,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(791613.020059426, 2179332.41004049)"
19.72119139,-72.18816407,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(794739.123961484, 2183070.69019489)"
19.68793013,-72.20333934,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2018-10-01T12:15:00Z,NA,"c(793208.131932977, 2179360.39932962)"
19.72018995,-72.22553026,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(790821.78348308, 2182895.25013602)"
19.70045568,-72.19210625,"3e Section Genipailler, Milot, Nord, Haiti",Water kiosk,2021-09-30T19:53:00Z,NA,"c(794363.635872208, 2180767.15832317)"
19.6649474,-72.2151379,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2016-10-27T15:15:00Z,FRAPE (Haiti Outreach),"c(792012.077140596, 2176794.55509384)"
19.7206883,-72.22535893,"3e Section Genipailler, Milot, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(790838.850673242, 2182950.73998863)"
19.72157138,-72.1994032,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(793559.602413672, 2183093.27909754)"
19.72239544,-72.18822509,"3e Section Petit Anse, Cap Haitien, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(794730.513481188, 2183203.94496351)"
19.687755,-72.201485,"3e Section Genipailler, Milot, Nord, Haiti",Protected dug well,2017-02-16T16:02:00Z,NA,"c(793402.984837959, 2179344.20472345)"
19.7214021,-72.23782,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:07:00Z,FRAPE (Haiti Outreach),"c(789530.600967176, 2183008.47225941)"
19.71042144,-72.266904,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(786499.805665081, 2181742.91450084)"
19.7042446,-72.2883756,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Protected dug well,2021-09-08T11:59:00Z,NA,"c(784258.634939098, 2181022.69471092)"
19.7281122,-72.304562,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-03T21:22:00Z,FRAPE (Haiti Outreach),"c(782518.858976954, 2183639.04236672)"
19.7158685,-72.2713109,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-03T00:03:00Z,FRAPE (Haiti Outreach),"c(786027.876747503, 2182338.76257695)"
19.6786657,-72.2715624,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-09T01:31:00Z,FRAPE (Haiti Outreach),"c(786067.682646071, 2178217.98219321)"
19.6356874,-72.2723108,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-10T18:26:00Z,FRAPE (Haiti Outreach),"c(786065.457415824, 2173456.72548599)"
19.6756121,-72.2639268,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-10T18:27:00Z,FRAPE (Haiti Outreach),"c(786874.165657528, 2177892.65616984)"
19.6805945,-72.2693446,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-09T01:32:00Z,FRAPE (Haiti Outreach),"c(786296.91750974, 2178435.33974137)"
19.6730913,-72.2483792,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-10T18:26:00Z,FRAPE (Haiti Outreach),"c(788509.804874609, 2177639.78468663)"
19.64399679,-72.27123376,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(786163.735363087, 2174378.8285658)"
19.6927609,-72.2697556,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(786232.153253199, 2179782.12416789)"
19.7259587,-72.2564726,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Unprotected spring,2016-11-29T21:25:00Z,FRAPE (Haiti Outreach),"c(787566.114935725, 2183481.3968021)"
19.7265066,-72.2952461,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-05T18:36:00Z,FRAPE (Haiti Outreach),"c(783498.691768085, 2183476.7714589)"
19.65131317,-72.26871885,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(786414.629841828, 2175193.37472539)"
19.63371828,-72.27242411,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",NA,2021-08-30T01:59:00Z,NA,"c(786057.058346119, 2173238.44864119)"
19.708229,-72.2750702,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-03T00:06:00Z,FRAPE (Haiti Outreach),"c(785647.169460405, 2181486.32343673)"
19.6926231,-72.2701232,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(786193.837487623, 2179766.24263993)"
19.717928,-72.2441167,"2e Section Haut du Cap, Cap Haitien, Nord, Haiti",Borehole or tubewell,2016-11-29T10:06:00Z,FRAPE (Haiti Outreach),"c(788876.436716094, 2182612.95461386)"
19.717741,-72.253009,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-03T00:03:00Z,FRAPE (Haiti Outreach),"c(787944.10932597, 2182577.12051929)"
19.6779741,-72.2699639,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-09T01:31:00Z,FRAPE (Haiti Outreach),"c(786236.608793, 2178144.07683002)"
19.6916539,-72.2622931,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-09T01:31:00Z,FRAPE (Haiti Outreach),"c(787016.941973271, 2179672.11581)"
19.67970023,-72.27922104,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2020-07-28T02:34:00Z,Inventaire 2017 - Point d'eau,"c(785262.39516732, 2178319.68386126)"
19.62850333,-72.2728555,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2022-02-25T17:20:00Z,NA,"c(786021.032358362, 2172660.15159907)"
19.727602,-72.2991186,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-03T21:23:00Z,FRAPE (Haiti Outreach),"c(783090.630036506, 2183591.61804884)"
19.7214357,-72.2504963,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-03T00:03:00Z,FRAPE (Haiti Outreach),"c(788201.02081279, 2182990.59769694)"
19.7175115,-72.2564598,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-11-29T21:26:00Z,FRAPE (Haiti Outreach),"c(787582.586570498, 2182545.84679832)"
19.7261169,-72.2491661,"1re Section Morne Rouge, Plaine du Nord, Nord, Haiti",Piped into public tap / standpipe / basin,2016-12-03T11:46:00Z,FRAPE (Haiti Outreach),"c(788332.127367595, 2183511.32922285)"
19.6726436,-72.2435418,"2e Section Basse Plaine, Plaine du Nord, Nord, Haiti",Borehole or tubewell,2016-12-13T20:07:00Z,FRAPE (Haiti Outreach),"c(789018.11865408, 2177598.41827287)"
