neighborho,name,sup_km2,cte,economy,sup_bati_km2,density,aptitude,zoning,latrine,density_ra,economy_nu,geometry
247,Nazon,0.412433262120203,ctecaphaitien,medium,0.24,very dense,bad,group,not allowed,4,1,"list(c(792165.107089237, 792183.99955121, 792160.835373478, 792135.409729607, 792123.831188532, 792109.849083219, 792092.745131686, 792089.102660887, 792091.084429247, 792087.514306079, 792078.968475266, 792058.535327366, 792027.393711215, 792016.446913329, 791992.957171258, 791981.730675592, 791995.139194184, 792005.524695258, 792015.829875266, 791952.329799443, 791895.444188623, 791872.954548937, 791900.621200215, 791890.75533493, 791855.079669073, 791921.679135289, 791985.627568446, 792001.43445695, 
792011.13265553, 792029.907026125, 792053.466984039, 792100.033712707, 792163.533862204, 792165.107089237, 2186385.98857614, 2186361.5538488, 2186317.00631122, 2186309.11351034, 2186297.91089858, 2186301.72454571, 2186303.08166647, 2186286.44537737, 2186258.89586704, 2186237.95888289, 2186219.46873237, 2186223.17385805, 2186246.6900812, 2186212.97632164, 2186187.78191182, 2186163.17337864, 2186133.28555612, 2186102.5877185, 2186033.10728349, 2186071.4719362, 2186124.38878004, 2186210.37845765, 2186283.97165478, 
2186292.45549506, 2186305.28487114, 2186310.70566766, 2186360.24120279, 2186375.81685724, 2186385.97562267, 2186402.53072718, 2186441.79020606, 2186448.14017202, 2186384.64009819, 2186385.98857614))"
261,Charrier,0.414145635313275,ctecaphaitien,low,0.139,very dense,bad,NA,not allowed,4,2,"list(c(790240.974604236, 790247.474025974, 790273.892285467, 790286.765524378, 790305.475948705, 790315.266746126, 790321.475130472, 790351.586457712, 790369.432173352, 790375.618173263, 790370.047993936, 790371.911461854, 790321.205322493, 790299.402502939, 790295.784297771, 790239.508747818, 790186.629197545, 790173.871986984, 790161.997857003, 790139.030920345, 790116.063983687, 790126.727204278, 790125.086708802, 790088.175560602, 790057.826394303, 790049.623916925, 790057.006146565, 790094.737542504, 
790120.985470113, 790158.716866052, 790164.476802164, 790175.067056222, 790191.640690431, 790212.172667033, 790229.457487643, 790240.974604236, 2184911.81329304, 2184905.90343231, 2184879.86156608, 2184866.75063128, 2184842.60353067, 2184822.18653734, 2184819.16998166, 2184814.27804583, 2184801.41946202, 2184779.6765594, 2184754.78359805, 2184733.57784188, 2184742.68939974, 2184758.8479456, 2184762.92904651, 2184729.63315605, 2184773.97200942, 2184769.1880539, 2184784.17402951, 2184799.75873653, 
2184816.98393902, 2184832.56864604, 2184863.73806008, 2184876.04177614, 2184891.62648316, 2184922.7958972, 2184935.919861, 2184938.38060421, 2184950.68432028, 2184947.40332933, 2184939.80293992, 2184934.54043892, 2184927.10110931, 2184925.0424949, 2184912.9336365, 2184911.81329304))"
262,Charrier,0.414145635313275,ctecaphaitien,low,0.139,very dense,bad,NA,not allowed,4,2,"list(c(791276.916395051, 791240.049177327, 791180.276995176, 791167.873726235, 791114.956960759, 791038.227581837, 790950.914950291, 790815.977104904, 790768.352016575, 790736.60198706, 790659.872695284, 790671.06826571, 790676.506673435, 790676.456710239, 790678.91387037, 790704.406265763, 790739.448299808, 790754.366563565, 790765.097648119, 790815.368610848, 790856.64373063, 790883.102116056, 790920.143824671, 790963.535546957, 790993.168919608, 791018.569066968, 791042.910706583, 791084.185851656, 
791136.044266488, 791170.440137449, 791218.065278373, 791295.669230393, 791295.639833963, 791274.578306591, 791276.916395051, 2184566.22607185, 2184511.43082879, 2184444.2939677, 2184435.77207654, 2184417.25115274, 2184390.79279436, 2184456.93877325, 2184525.73061554, 2184557.48063103, 2184613.04329142, 2184660.66833857, 2184671.27867596, 2184693.97628894, 2184717.00333093, 2184741.42216802, 2184740.3326871, 2184733.16186306, 2184739.28622628, 2184710.15880195, 2184679.46705801, 2184681.58375838, 
2184667.82534266, 2184641.36695593, 2184665.70871562, 2184691.108751, 2184691.10873072, 2184705.92541367, 2184706.98374643, 2184665.70870323, 2184641.8961365, 2184618.08361721, 2184616.53152212, 2184616.4625734, 2184566.99793214, 2184566.22607185))"
265,Charrier,0.414145635313275,ctecaphaitien,low,0.139,very dense,bad,NA,not allowed,4,2,"list(c(791283.428906019, 791294.64881465, 791316.389985828, 791344.716104421, 791424.227839963, 791427.92376246, 791472.532989147, 791512.117675945, 791555.950569543, 791592.426902267, 791590.136887587, 791604.810242989, 791639.404297265, 791655.185323188, 791596.499525748, 791556.812017598, 791519.770269317, 791458.915978283, 791432.457567371, 791382.18662312, 791334.561570362, 791316.040695803, 791283.428906019, 2184161.17376941, 2184184.05438081, 2184210.40029268, 2184284.05148499, 2184496.52015456, 
2184498.54120804, 2184482.59175113, 2184466.10604654, 2184456.93952532, 2184439.74390631, 2184427.18463171, 2184407.65417527, 2184391.0868244, 2184349.69449537, 2184356.39691622, 2184390.79287359, 2184388.14693482, 2184356.39686423, 2184308.77178572, 2184255.85509674, 2184205.58414835, 2184142.08394329, 2184161.17376941))"
278,Babiole,0.92774710061408,ctecaphaitien,low,0.357,most dense,bad,NA,not allowed,5,2,"list(c(790127.407098868, 790122.698541801, 790123.53418953, 790159.5357572, 790196.21032808, 790227.1885314, 790239.639090792, 790250.882128553, 790268.644234444, 790310.782418676, 790340.564312934, 790367.053670326, 790381.180264164, 790400.576558624, 790484.181658468, 790478.038568326, 790489.963452372, 790516.657300158, 790540.329897615, 790556.306690985, 790560.7259947, 790568.975674272, 790568.975674275, 790569.920361691, 790569.925383695, 790594.568401937, 790572.942133872, 790534.239710286, 
790510.246718416, 790461.194067328, 790423.041478817, 790378.910814176, 790333.253812448, 790270.855422215, 790239.294381018, 790189.508331437, 790168.817582765, 790149.436604959, 790127.407098868, 2184344.26110945, 2184360.69504829, 2184379.64051608, 2184394.2138325, 2184409.95282467, 2184421.2094445, 2184442.77444595, 2184474.36201637, 2184488.97480917, 2184447.54973943, 2184433.85218203, 2184430.60386053, 2184434.88174249, 2184441.55698155, 2184432.92053029, 2184468.71760757, 2184494.08313508, 
2184499.26503986, 2184530.60363206, 2184509.22622087, 2184503.31320893, 2184492.27488023, 2184492.27488023, 2184491.01085899, 2184491.02366505, 2184458.55718871, 2184419.75338722, 2184407.90508645, 2184399.99816602, 2184378.97178708, 2184368.7488318, 2184384.51371829, 2184394.94289856, 2184357.53105345, 2184346.61093523, 2184337.29158486, 2184322.80000862, 2184328.93835977, 2184344.26110945))"
50,Sen Terèz,0.253256206371231,ctecayes,NA,NA,NA,bad,NA,NA,NA,NA,"list(c(631357.069186583, 631405.950406968, 631474.213100004, 631539.300751476, 631602.800871522, 631693.288458962, 631750.438616462, 631766.313615286, 631820.288774824, 631829.32386972, 631924.574061189, 631970.876239886, 632005.27211702, 632037.049780538, 632052.924753573, 632013.237202149, 631997.362135067, 631944.445362792, 631825.382674763, 631661.340637038, 631552.861295972, 631518.465344104, 631399.402611946, 631367.652544846, 631338.548396849, 631341.194203639, 631357.069186583, 2011182.49399689, 
2011199.32024025, 2011278.69549431, 2011339.02053808, 2011342.19555262, 2011366.00809542, 2011396.17067123, 2011443.79581082, 2011464.43329848, 2011523.42135486, 2011544.58799516, 2011503.57749263, 2011514.16086982, 2011439.14030773, 2011359.76516439, 2011232.76490831, 2011222.18154812, 2011198.36897182, 2011124.28550793, 2011002.57694257, 2010859.70161362, 2010859.7016482, 2010846.47242449, 2010872.93089493, 2010997.28528595, 2011079.30625585, 2011182.49399689))"
248,Ste Philomène,0.829596494529605,ctecaphaitien,medium,0.185,very dense,bad,NA,not allowed,4,1,"list(c(791933.264382883, 791930.691121854, 791903.746873642, 791884.745791289, 791865.204698866, 791848.51544763, 791823.636909409, 791820.179806105, 791812.952325067, 791803.943330235, 791790.860375982, 791773.308147501, 791723.881829725, 791698.417414875, 791684.88358651, 791664.961370445, 791625.360462276, 791596.224498393, 791580.608848306, 791580.608848306, 791670.784739702, 791786.964858949, 791810.777381515, 791858.402467775, 791872.954548937, 791895.444188623, 791933.264382883, 2186089.20720627, 
2186087.12620852, 2186056.68608603, 2186042.95460026, 2186031.2384595, 2186022.98651763, 2186035.22068581, 2186060.21484106, 2186091.21885752, 2186122.82553895, 2186133.3602337, 2186116.23689668, 2186060.87236941, 2186085.36978398, 2186107.66388889, 2186133.64633116, 2186178.65633685, 2186210.81012392, 2186234.66153626, 2186234.66153626, 2186183.13241602, 2186152.17002763, 2186202.44094939, 2186228.89938872, 2186210.37845765, 2186124.38878004, 2186089.20720627))"
249,Ste Philomène,0.829596494529605,ctecaphaitien,medium,0.185,very dense,bad,NA,not allowed,4,1,"list(c(791984.26717338, 791975.05563438, 791963.132143477, 791948.400080784, 791939.463433584, 791941.548529064, 791958.264261371, 791995.017826772, 792002.773027972, 792009.988219102, 792025.689183322, 792039.005332453, 792048.482038421, 792048.785436194, 792119.520375438, 792198.088552583, 792316.669174425, 792374.828954128, 792296.133761796, 792243.530932802, 792129.764471436, 791920.136423731, 791898.377954153, 791771.055534681, 791763.381915094, 791764.932507135, 791783.5478412, 791830.551905158, 
791878.879513216, 791913.848967661, 791959.302751881, 792006.195697229, 792046.410864353, 792044.79281907, 792054.703478457, 792076.438187806, 792078.605323661, 792045.593057761, 791983.184515688, 791984.26717338, 2185839.1427184, 2185837.91877572, 2185862.26439945, 2185903.13779083, 2185930.4437772, 2185956.92296014, 2185971.12210834, 2185975.03008576, 2185980.34814606, 2185987.68155139, 2185979.46838049, 2185969.03021663, 2185929.75915856, 2185911.3109823, 2185859.75099899, 2185787.23071945, 2185710.09679493, 
2185655.57365967, 2185621.98519315, 2185595.41680513, 2185531.59523385, 2185415.45247289, 2185464.90745257, 2185564.30168473, 2185591.28186871, 2185648.01153328, 2185688.05257969, 2185661.76655574, 2185624.49496292, 2185659.24547322, 2185664.94465717, 2185675.34954373, 2185706.64554789, 2185705.38636247, 2185740.18813111, 2185771.93241222, 2185786.01334623, 2185800.38816919, 2185839.82689786, 2185839.1427184))"
280,Babiole,0.92774710061408,ctecaphaitien,low,0.357,most dense,bad,NA,not allowed,5,2,"list(c(790540.329897615, 790516.657300158, 790489.963452372, 790478.038568326, 790484.181658468, 790400.576558624, 790381.180264164, 790367.053670326, 790340.564312934, 790310.782418676, 790268.644234444, 790250.882128553, 790239.639090792, 790227.1885314, 790196.21032808, 790159.5357572, 790123.53418953, 790122.698541801, 790127.407098868, 790126.426588681, 790110.641646545, 790085.08047171, 790059.93712074, 790053.586515638, 790043.422640409, 790022.555741578, 790006.97103456, 789995.8976901, 789974.981372786, 
789961.037161243, 789955.295427079, 789949.553692914, 789937.249976847, 789937.660100716, 789951.604312259, 789932.738614289, 789917.974155009, 789915.103287927, 789925.356384649, 789945.452454225, 789994.667318493, 790023.375989316, 790041.421439547, 790070.950358108, 790102.119772144, 790100.479276668, 790110.322249522, 790133.712408401, 790186.629197545, 790239.508747818, 790295.784297771, 790299.402502939, 790321.205322493, 790373.070007315, 790394.236710589, 790426.577010365, 790455.090922006, 
790476.852029955, 790515.945251831, 790532.349438248, 790540.329897615, 2184530.60363206, 2184499.26503986, 2184494.08313508, 2184468.71760757, 2184432.92053029, 2184441.55698155, 2184434.88174249, 2184430.60386053, 2184433.85218203, 2184447.54973943, 2184488.97480917, 2184474.36201637, 2184442.77444595, 2184421.2094445, 2184409.95282467, 2184394.2138325, 2184379.64051608, 2184360.69504829, 2184344.26110945, 2184344.94310895, 2184343.17690918, 2184339.28384828, 2184344.86352129, 2184343.8247754, 
2184348.78275497, 2184349.85285235, 2184352.72371943, 2184359.28570133, 2184359.28570133, 2184371.99954127, 2184385.94375281, 2184412.19168042, 2184420.80428167, 2184438.02948416, 2184457.71542987, 2184481.50261426, 2184505.69992253, 2184535.22884109, 2184556.55528227, 2184568.0387506, 2184587.72469631, 2184606.59039428, 2184669.74947009, 2184687.79492032, 2184698.45814091, 2184718.96433435, 2184749.31350065, 2184754.12820703, 2184773.97200942, 2184729.63315605, 2184762.92904651, 2184758.8479456, 
2184742.68939974, 2184733.36965892, 2184710.08627803, 2184687.58866516, 2184667.75280446, 2184634.44900117, 2184574.61932769, 2184541.2817173, 2184530.60363206))"
281,Babiole,0.92774710061408,ctecaphaitien,low,0.357,most dense,bad,NA,not allowed,5,2,"list(c(790090.431664712, 790089.222408491, 790086.601140243, 790088.246541382, 790106.752395077, 790126.441610674, 790137.262720486, 790174.991011553, 790174.155363825, 790088.326763954, 790039.782102064, 790027.878832792, 789978.269416007, 789908.816100936, 789974.962119299, 789961.732853533, 789941.889071181, 789993.732979058, 789998.282013528, 790016.061805567, 790062.737155184, 790090.431664712, 2183966.28656295, 2183900.92976796, 2183837.16531566, 2183794.25101572, 2183750.927735, 2183692.15601374, 
2183666.48051385, 2183647.02942635, 2183628.08395856, 2183624.79315628, 2183614.74168859, 2183599.88104667, 2183616.41764061, 2183685.87080194, 2183758.63141882, 2183818.16275175, 2183927.30359874, 2183985.24684552, 2183968.19945569, 2183968.03681117, 2183951.96842587, 2183966.28656295))"
253,Quiteyo,0.571027210618175,ctecaphaitien,low,0.092,somewhat dense,bad,NA,not allowed,2,2,"list(c(791588.058653873, 791587.141882805, 791558.020898754, 791498.652162526, 791470.316521002, 791459.759843595, 791444.388942133, 791424.0255447, 791377.508528669, 791332.785602468, 791338.774167325, 791301.14209808, 791246.640480553, 791193.436520586, 791115.889845269, 791156.453280122, 791171.542770263, 791216.145527889, 791336.178852204, 791399.422649574, 791479.729272233, 791588.984259796, 791592.280288894, 791764.932507135, 791763.381915094, 791771.055534681, 791898.377954153, 791920.136423731, 
791588.058653873, 2185198.56320538, 2185198.47997835, 2185228.82538202, 2185283.11888599, 2185320.34720941, 2185353.69923081, 2185394.94145593, 2185424.58575449, 2185436.96202076, 2185463.62729708, 2185535.49007537, 2185586.09872022, 2185656.17222846, 2185700.29258551, 2185721.94224252, 2185752.8477167, 2185754.81591106, 2185760.63366206, 2185759.98483328, 2185862.47760547, 2185832.63392813, 2185806.76185264, 2185804.28983319, 2185648.01153328, 2185591.28186871, 2185564.30168473, 2185464.90745257, 
2185415.45247289, 2185198.56320538))"
7,Cite du Peuple,0.460727118526377,ctecaphaitien,low,0.419,most dense,bad,NA,not allowed,5,2,"list(c(791783.767273829, 791920.136423731, 792129.764471436, 792243.530932802, 792296.133761796, 792374.828954128, 792461.987580604, 792510.627931592, 792571.76576909, 792658.820974508, 792690.741531029, 792746.561244221, 792747.978808837, 792805.968947209, 792824.7446166, 792794.733774164, 792780.808853206, 792777.731243562, 792765.603590008, 792744.324590815, 792708.980954857, 792708.680027238, 792643.149084303, 792582.643598718, 792501.506314755, 792386.474178147, 792312.583115043, 792291.213168188, 
792266.258956508, 792220.509090646, 792165.273209821, 792144.10388398, 792053.628186494, 792020.394508046, 791967.970626397, 791906.279395387, 791888.039876658, 791877.299417513, 791852.868066212, 791819.634993391, 791768.655940638, 791730.247284765, 791708.498472972, 791689.575318367, 791665.965821319, 791632.78027172, 791608.599633972, 791598.626714698, 791589.556901325, 791576.820483675, 791655.214910801, 791783.767273829, 2185330.46073658, 2185415.45247289, 2185531.59523385, 2185595.41680513, 
2185621.98519315, 2185655.57365967, 2185696.70280686, 2185743.98646893, 2185669.07149408, 2185596.69267882, 2185648.97237261, 2185614.89032796, 2185609.45633541, 2185387.16080498, 2185371.38385792, 2185335.62710733, 2185310.64859248, 2185298.61793659, 2185281.21250788, 2185267.45907713, 2185237.36036641, 2185236.88436886, 2185214.71523938, 2185190.52027586, 2185145.95076073, 2185037.55565153, 2184977.28946213, 2184941.08588458, 2184940.67536521, 2184990.53726857, 2185070.82289037, 2185083.12847529, 
2185120.65614689, 2185138.03572861, 2185168.80802899, 2185201.53725202, 2185217.84538433, 2185233.48582631, 2185216.47658644, 2185188.25094963, 2185146.28943866, 2185114.024645, 2185116.04014985, 2185128.3829939, 2185152.51166271, 2185166.99292659, 2185171.18283125, 2185170.49199783, 2185175.61541645, 2185191.22324251, 2185246.34054219, 2185330.46073658))"
39,Centre-Ville,0.675958325071958,ctecayes,NA,NA,NA,bad,NA,NA,NA,NA,"list(c(632823.180518522, 632817.731553415, 632527.589990549, 632229.396131465, 631868.717826178, 631761.938303392, 631806.299411022, 631831.213026388, 631878.286571718, 632176.439949893, 632277.865986882, 632888.403103675, 632979.060133416, 632942.712383887, 632935.366128664, 632919.620059608, 632855.394365642, 632823.180518522, 2011905.13890392, 2011818.7316344, 2011848.346705, 2011877.9111775, 2011917.5883922, 2011927.3959888, 2012214.1918064, 2012399.74004721, 2012583.33241727, 2012557.97617627, 
2012447.01862067, 2012377.4607889, 2012369.65561908, 2012091.33711444, 2011988.06400981, 2011935.29150662, 2011905.35943022, 2011905.13890392))"
